"filename", "language", "JavaScript", "Markdown", "JSON", "Solidity", "comment", "blank", "total"
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/EditProduct.js", "JavaScript", 17, 0, 0, 0, 0, 1, 18
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/EditStore.js", "JavaScript", 10, 0, 0, 0, 0, 0, 10
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/HomeScreen.js", "JavaScript", 100, 0, 0, 0, 1, 3, 104
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/ImageSearch.js", "JavaScript", 59, 0, 0, 0, 1, 8, 68
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/Jkl.js", "JavaScript", 23, 0, 0, 0, 0, 2, 25
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/Login.js", "JavaScript", 13, 0, 0, 0, 0, -4, 9
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/OrderDetails.js", "JavaScript", 9, 0, 0, 0, 0, 3, 12
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/PaymentMethodScreen.js", "JavaScript", 6, 0, 0, 0, 0, 0, 6
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/ProductDetails.js", "JavaScript", 21, 0, 0, 0, 0, 1, 22
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/ProfileScreen.js", "JavaScript", 2, 0, 0, 0, 0, 0, 2
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/SellerDashboard.js", "JavaScript", 12, 0, 0, 0, 0, 0, 12
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/SellerOrders.js", "JavaScript", 211, 0, 0, 0, 0, 7, 218
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/SellerProducts.js", "JavaScript", 11, 0, 0, 0, 0, 0, 11
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/SellerRequests.js", "JavaScript", 4, 0, 0, 0, 0, 1, 5
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/SellerStores.js", "JavaScript", 8, 0, 0, 0, 0, 0, 8
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/Shipping.js", "JavaScript", -10, 0, 0, 0, 0, 2, -8
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/ShippingAddressFormScreen.js", "JavaScript", 179, 0, 0, 0, 0, 15, 194
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/StoreDescriptionScreen.js", "JavaScript", 22, 0, 0, 0, 0, 1, 23
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/StoreDetail.js", "JavaScript", 2, 0, 0, 0, 0, 1, 3
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/StoreProductsScreen.js", "JavaScript", 10, 0, 0, 0, 0, 0, 10
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/StoreScreen.js", "JavaScript", 58, 0, 0, 0, 0, 6, 64
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/UploadProduct.js", "JavaScript", 20, 0, 0, 0, 0, 2, 22
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/UserInfoScreen.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/UserOrdersScreen.js", "JavaScript", 175, 0, 0, 0, 0, 6, 181
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/UserReviewsScreen.js", "JavaScript", 28, 0, 0, 0, 0, 5, 33
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/ViewOrderScreen.js", "JavaScript", 162, 0, 0, 0, 1, 6, 169
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/WorkerRequests.js", "JavaScript", 8, 0, 0, 0, 0, 0, 8
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/WorkerScreen.js", "JavaScript", 80, 0, 0, 0, 0, 6, 86
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/utils/Transactions.json", "JSON", 0, 0, 140, 0, 0, 1, 141
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/utils/constants.js", "JavaScript", 3, 0, 0, 0, 0, 2, 5
"/Users/apple/Desktop/Projects/sanitary-store/frontend/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 7, 1, 8
"/Users/apple/Desktop/Projects/sanitary-store/smartContracts/README.md", "Markdown", 0, 10, 0, 0, 0, 4, 14
"/Users/apple/Desktop/Projects/sanitary-store/smartContracts/contracts/Transactions.sol", "Solidity", 0, 0, 0, 23, 1, 11, 35
"/Users/apple/Desktop/Projects/sanitary-store/smartContracts/hardhat.config.js", "JavaScript", 13, 0, 0, 0, 1, 4, 18
"/Users/apple/Desktop/Projects/sanitary-store/smartContracts/package-lock.json", "JSON", 0, 0, 20002, 0, 0, 1, 20003
"/Users/apple/Desktop/Projects/sanitary-store/smartContracts/package.json", "JSON", 0, 0, 20, 0, 0, 1, 21
"/Users/apple/Desktop/Projects/sanitary-store/smartContracts/scripts/deploy.js", "JavaScript", 16, 0, 0, 0, 1, 5, 22
"/Users/apple/Desktop/Projects/sanitary-store/smartContracts/test/Lock.js", "JavaScript", 92, 0, 0, 0, 8, 27, 127
"Total", "-", 3647, 10, 23126, 23, 70, 331, 27207
