"filename", "language", "JavaScript", "Markdown", "JSON", "Solidity", "CSS", "HTML", "comment", "blank", "total"
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Redux/rootReducer.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/AdminDashboard.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 2, 93
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/CartScreen.js", "JavaScript", 51, 0, 0, 0, 0, 0, 1, 6, 58
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/CreateStore.js", "JavaScript", 162, 0, 0, 0, 0, 0, 1, 14, 177
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/EditProduct.js", "JavaScript", 275, 0, 0, 0, 0, 0, 0, 16, 291
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/EditStore.js", "JavaScript", 176, 0, 0, 0, 0, 0, 0, 12, 188
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/HomeScreen.js", "JavaScript", 154, 0, 0, 0, 0, 0, 2, 10, 166
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/ImageSearch.js", "JavaScript", 59, 0, 0, 0, 0, 0, 1, 8, 68
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/Jkl.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/Login.js", "JavaScript", 142, 0, 0, 0, 0, 0, 0, 11, 153
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/OrderDetails.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 8, 72
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/PaymentMethodScreen.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 8, 84
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/ProductDetails.js", "JavaScript", 179, 0, 0, 0, 0, 0, 0, 19, 198
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/ProfileScreen.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 11, 127
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/Registeration.js", "JavaScript", 165, 0, 0, 0, 0, 0, 1, 16, 182
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/SellerDashboard.js", "JavaScript", 93, 0, 0, 0, 0, 0, 22, 2, 117
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/SellerHome.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 5, 34
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/SellerOrders.js", "JavaScript", 211, 0, 0, 0, 0, 0, 0, 7, 218
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/SellerProducts.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 5, 53
